Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1960-2010
Missing: -99
Date,Value,Anomaly
196012,53.6,-1.3
196112,54.3,-0.6
196212,53.5,-1.4
196312,53.3,-1.6
196412,54.5,-0.4
196512,54.6,-0.3
196612,53.3,-1.6
196712,53.4,-1.5
196812,53.8,-1.1
196912,53.4,-1.5
197012,54.8,-0.1
197112,54.9,0.0
197212,54.2,-0.7
197312,55.6,0.7
197412,55.3,0.4
197512,55.4,0.5
197612,53.8,-1.1
197712,54.8,-0.1
197812,53.6,-1.3
197912,53.8,-1.1
198012,54.4,-0.5
198112,53.7,-1.2
198212,54.7,-0.2
198312,54.4,-0.5
198412,55.0,0.1
198512,55.4,0.5
198612,55.6,0.7
198712,55.2,0.3
198812,53.9,-1.0
198912,54.4,-0.5
199012,57.4,2.5
199112,57.0,2.1
199212,54.4,-0.5
199312,55.1,0.2
199412,55.3,0.4
199512,55.0,0.1
199612,54.0,-0.9
199712,54.5,-0.4
199812,57.4,2.5
199912,56.3,1.4
200012,54.9,0.0
200112,55.8,0.9
200212,56.6,1.7
200312,55.0,0.1
200412,55.9,1.0
200512,55.9,1.0
200612,56.6,1.7
200712,56.8,1.9
200812,55.7,0.8
200912,55.2,0.3
201012,55.9,1.0
